,Positive,Daily Return_Past_ma10
0,0,
1,0,
2,1,-0.0018945033326642768
3,1,0.0009839610696467105
4,1,0.0022056118859200926
5,0,0.001716863479939712
6,0,-0.0031578289507244507
7,1,-0.007208788847110033
8,1,-0.001662401888294442
9,0,0.001773623624657994
10,0,0.0015750241225495436
11,0,0.0013702774743608258
12,1,0.001381205160411947
13,0,0.002422157147615056
14,0,0.0002939491147333495
15,1,-0.00147370843960688
16,1,0.003745009784054165
17,1,0.008027347508326543
18,0,0.007975482293085201
19,1,-0.004142497604036688
20,1,0.012341020614522514
21,1,0.02340823926172957
22,1,0.025113875768164852
23,0,0.025570341003071574
24,0,0.026525420773813015
25,0,0.023819951105414995
26,1,0.020589871279185858
27,1,0.020700292915014785
28,1,0.017625325624786404
29,1,0.027828051126578247
30,0,0.012229149349167478
31,0,0.00016240197128780665
32,1,-0.0028057195880696996
33,0,-0.0023416216955542968
34,0,-0.004962547357793679
35,1,-0.0042512717234423625
36,0,-0.0027291209914464764
37,0,-0.00624594828559818
38,0,-0.006488889767020556
39,1,-0.00779516172085466
40,1,-0.0082475095498576
41,1,-0.006136783857954131
42,0,-0.0035449770866514464
43,0,-0.007360162136699278
44,1,-0.005035984255008541
45,1,-0.0007352540626346493
46,0,-0.00094684980293539
47,0,-0.0002098347859926908
48,1,-0.0005003599474088016
49,1,0.0005156585831609384
50,0,0.0016902035344138477
51,1,0.0005179120142598137
52,1,-5.543195863548789e-05
53,1,0.003616695971165895
54,1,0.005611577293734404
55,0,0.0059383883470585765
56,0,0.001420017217305758
57,1,-0.0003620413450967974
58,1,0.0014703105000141714
59,1,0.0016714592617520841
60,0,0.0009356279511626541
61,0,0.00013188799353958114
62,1,-0.002164482749134322
63,0,-0.0035898500611538653
64,1,-0.006766370033435653
65,1,-0.007055655496692892
66,1,-0.001618385342020412
67,0,0.0018762478591785147
68,1,-0.00430374220846681
69,1,-0.0026413917142834586
70,0,-3.606049183790816e-06
71,1,0.00028995462837998475
72,0,0.0056009259706607415
73,0,0.003278757587612724
74,1,0.004953244062090356
75,0,0.00701563550112475
76,1,0.004800481038691839
77,0,0.01523657226705133
78,0,0.017542836368118486
79,0,0.014484327918505346
80,0,0.009645518707133293
81,0,0.0007119324155458017
82,0,-0.0030195141757007548
83,1,-0.00407987274588969
84,1,0.001787225986780061
85,0,0.00015110830818417797
86,1,-0.0004281571462809497
87,1,-0.010838527212981331
88,0,-0.0073982792284159275
89,0,-0.006984883389982532
90,1,-0.00684229165139979
91,0,0.005102696501722537
92,1,0.0016429070845982662
93,1,0.00671081553719941
94,1,0.0023711948292293172
95,0,0.007854925550314395
96,1,0.007811159194920503
97,0,0.007959922641116357
98,1,0.006459220479058036
99,0,0.007404793766682005
100,0,0.006848190100236895
101,1,0.0030093319152364574
102,1,0.017920626475295843
103,1,0.016109004298724083
104,1,0.01728741483763807
105,1,0.011782369054805475
106,1,0.013541422518672807
107,0,0.013347901151213338
108,0,0.013794190002378592
109,1,0.011330128025643881
110,0,0.01315769965662894
111,1,0.01124683043148993
112,0,0.002785910244978784
113,0,-0.0005366909171964695
114,1,-0.0036805431351774388
115,0,-0.0031264262367021066
116,1,-0.006957119501698472
117,1,-0.006653566310117387
118,1,-0.00575684773599997
119,1,-0.0026148231411609714
120,1,-0.002588188406762315
121,1,0.0022720476056494188
122,1,-2.8297619816697316e-05
123,0,0.0029322042073201215
124,0,0.0001475288424190091
125,1,-0.008809957327761242
126,1,-0.00558801017589261
127,0,-0.0004980225938015393
128,1,-0.001810077475305627
129,1,-0.0019878748376855326
130,1,-3.641935130022089e-05
131,1,-0.0012326701695664632
132,0,-0.0010371995779605014
133,0,-0.0054486170274876565
134,1,-0.008999761887771152
135,0,0.00030812094029799566
136,0,-0.0016811302636010272
137,0,-0.008792740214090534
138,0,-0.00994238965789308
139,1,-0.01546159970958918
140,1,-0.01423729386805519
141,1,-0.01004194315396778
142,1,-0.007292224002878589
143,1,-0.003158276136952698
144,0,0.0042676323371759195
145,0,-0.0025472179879939107
146,1,-0.0027125727372667384
147,0,-0.0012528825000469811
148,0,-0.004084192198669912
149,1,6.755936614233349e-05
150,1,-0.0030767905879040434
151,1,-0.004143510717303278
152,1,-0.0067329296200281386
